case_id,volume_id,image_path,mask_path,height,width,context_gap_slices
gap_48140d1fe19327ea52,vol_77aa82f16f22a1,train_images/gap_48140d1fe19327ea52.png,train_masks/gap_48140d1fe19327ea52_mask.png,128,128,2
gap_5018b4753db1894cb4,vol_acc3478573c47a,train_images/gap_5018b4753db1894cb4.png,train_masks/gap_5018b4753db1894cb4_mask.png,128,128,2
gap_bdbd2e2d19a7de1c29,vol_df67145908d8e5,train_images/gap_bdbd2e2d19a7de1c29.png,train_masks/gap_bdbd2e2d19a7de1c29_mask.png,128,128,2
gap_f200a7863ceb44ca2a,vol_582f475d9ae3c1,train_images/gap_f200a7863ceb44ca2a.png,train_masks/gap_f200a7863ceb44ca2a_mask.png,128,128,2
gap_39d0db065112938b9c,vol_7c2bb60117e276,train_images/gap_39d0db065112938b9c.png,train_masks/gap_39d0db065112938b9c_mask.png,128,128,2
gap_696fa765efbeecc220,vol_4921800804a976,train_images/gap_696fa765efbeecc220.png,train_masks/gap_696fa765efbeecc220_mask.png,128,128,2
gap_5ef1a7f692a01a3d17,vol_7c2bb60117e276,train_images/gap_5ef1a7f692a01a3d17.png,train_masks/gap_5ef1a7f692a01a3d17_mask.png,128,128,2
gap_b079b64dcd86dce49e,vol_c398dbdcbc3d28,train_images/gap_b079b64dcd86dce49e.png,train_masks/gap_b079b64dcd86dce49e_mask.png,128,128,2
gap_e19592855d6be13182,vol_77aa82f16f22a1,train_images/gap_e19592855d6be13182.png,train_masks/gap_e19592855d6be13182_mask.png,128,128,2
gap_c48b84d1a77e2dcde4,vol_cc15e1b51df496,train_images/gap_c48b84d1a77e2dcde4.png,train_masks/gap_c48b84d1a77e2dcde4_mask.png,128,128,2
gap_7538a315f6b800653b,vol_bf8936cd6d47c7,train_images/gap_7538a315f6b800653b.png,train_masks/gap_7538a315f6b800653b_mask.png,128,128,2
gap_934a8ab9687fddea5d,vol_15b79aa9978e3e,train_images/gap_934a8ab9687fddea5d.png,train_masks/gap_934a8ab9687fddea5d_mask.png,128,128,2
gap_6f8c08106772f9fda8,vol_804c999e4daf42,train_images/gap_6f8c08106772f9fda8.png,train_masks/gap_6f8c08106772f9fda8_mask.png,128,128,2
gap_949779951490b6e248,vol_fb0999f09bcfd8,train_images/gap_949779951490b6e248.png,train_masks/gap_949779951490b6e248_mask.png,128,128,2
gap_e0652065fbdef8f68e,vol_1597aa55748da6,train_images/gap_e0652065fbdef8f68e.png,train_masks/gap_e0652065fbdef8f68e_mask.png,128,128,2
gap_5e23f69e0e1d9d3757,vol_098348610cc349,train_images/gap_5e23f69e0e1d9d3757.png,train_masks/gap_5e23f69e0e1d9d3757_mask.png,128,128,2
gap_a6c046ed6aa8435673,vol_654a3a5ce18fe4,train_images/gap_a6c046ed6aa8435673.png,train_masks/gap_a6c046ed6aa8435673_mask.png,128,128,2
gap_d8234632e1593cef18,vol_77aa82f16f22a1,train_images/gap_d8234632e1593cef18.png,train_masks/gap_d8234632e1593cef18_mask.png,128,128,2
gap_428a48c697b8281b4f,vol_208dbc1a6f30e7,train_images/gap_428a48c697b8281b4f.png,train_masks/gap_428a48c697b8281b4f_mask.png,128,128,2
gap_6fcdf57e1072001ee2,vol_77aa82f16f22a1,train_images/gap_6fcdf57e1072001ee2.png,train_masks/gap_6fcdf57e1072001ee2_mask.png,128,128,2
gap_c2043115a6f8a14834,vol_098348610cc349,train_images/gap_c2043115a6f8a14834.png,train_masks/gap_c2043115a6f8a14834_mask.png,128,128,2
gap_79ce3486ecc904efe4,vol_e94f442ad07ae7,train_images/gap_79ce3486ecc904efe4.png,train_masks/gap_79ce3486ecc904efe4_mask.png,128,128,2
gap_3d9c2497abef32cf76,vol_fb0999f09bcfd8,train_images/gap_3d9c2497abef32cf76.png,train_masks/gap_3d9c2497abef32cf76_mask.png,128,128,2
gap_0e080381ff9874c8ee,vol_cc15e1b51df496,train_images/gap_0e080381ff9874c8ee.png,train_masks/gap_0e080381ff9874c8ee_mask.png,128,128,2
gap_d8b86a6a3bef74202f,vol_582f475d9ae3c1,train_images/gap_d8b86a6a3bef74202f.png,train_masks/gap_d8b86a6a3bef74202f_mask.png,128,128,2
gap_475b2f895508a0c6cc,vol_654a3a5ce18fe4,train_images/gap_475b2f895508a0c6cc.png,train_masks/gap_475b2f895508a0c6cc_mask.png,128,128,2
